number,name,status
3122,Delineation of the main module,
3121,Extension Module Initialization and Finalization,
3118,Revising the buffer protocol,
3120,Using UTF-8 as the default source encoding,
3119,Introducing Abstract Base Classes,
3117,Postfix type declarations,
3114,Renaming iterator.next() to iterator.__next__(),
3115,Metaclasses in Python 3000,
3116,New I/O,
3113,Removal of Tuple Parameter Unpacking,
3111,Simple input built-in in Python 3000,
3112,Bytes literals in Python 3000,
3110,Catching Exceptions in Python 3000,
3107,Function Annotations,
3109,Raising Exceptions in Python 3000,
3106,"Revamping dict.keys(), .values() and .items()",
3108,Standard Library Reorganization,
3104,Access to Names in Outer Scopes,
3103,A Switch/Case Statement,
3105,Make print a function,
3102,Keyword-Only Arguments,
3101,Advanced String Formatting,
3100,Miscellaneous Python 3.0 Plans,
3099,Things that will Not Change in Python 3000,
3002,Procedure for Backwards-Incompatible Changes,
3003,Python Language Moratorium,
3001,Procedure for reviewing and improving standard library modules,
3000,Python 3000,
2026,Calendar versioning for Python,
801,Reserved,
789,Preventing task-cancellation bugs by limiting yield in async generators,
747,TypeExpr: Type Hint for a Type Expression,
749,Implementing PEP 649,
754,IEEE 754 Floating Point Special Values,
745,Python 3.14 Release Schedule,
746,Type checking Annotated metadata,
744,JIT Compilation,
743,Add Py_COMPAT_API_VERSION to the Python C API,
742,Narrowing types with TypeIs,
741,Python Configuration C API,
738,Adding Android as a supported platform,
737,C API to format a type fully qualified name,
740,Index support for digital attestations,
739,Static description file for build details of Python installations,
736,Shorthand syntax for keyword arguments at invocation,
735,Dependency Groups in pyproject.toml,
734,Multiple Interpreters in the Stdlib,
730,Adding iOS as a supported platform,
731,C API Working Group Charter,
729,Typing governance process,
733,An Evaluation of Python’s Public C API,
732,The Python Documentation Editorial Board,
728,TypedDict with Typed Extra Items,
726,Module ,
722,Dependency specification for single-file scripts,
721,Using tarfile.data_filter for source distribution extraction,
725,Specifying external dependencies in pyproject.toml,
727,Documentation in Annotated Metadata,
724,Stricter Type Guards,
723,Inline script metadata,
720,Cross-compiling Python packages,
719,Python 3.13 Release Schedule,
715,Disabling bdist_egg distribution uploads on PyPI,
718,Subscriptable functions,
714,Rename dist-info-metadata in the Simple API,
711,PyBI: a standard format for distributing Python Binaries,
713,Callable Modules,
712,Adding a “converter” parameter to dataclasses.field,
709,Inlined comprehensions,
708,Extending the Repository API to Mitigate Dependency Confusion Attacks,
706,Filter for tarfile.extractall,
707,A simplified signature for __exit__ and __aexit__,
705,TypedDict: Read-only items,
704,Require virtual environments by default for package installers,
710,Recording the provenance of installed packages,
703,Making the Global Interpreter Lock Optional in CPython,
698,Override Decorator for Static Typing,
702,Marking deprecations using the type system,
701,Syntactic formalization of f-strings,
699,Remove private dict version field added in PEP 509,
697,Limited C API for Extending Opaque Types,
700,Additional Fields for the Simple API for Package Indexes,
694,Upload 2.0 API for Python Package Repositories,
695,Type Parameter Syntax,
696,Type Defaults for Type Parameters,
693,Python 3.12 Release Schedule,
691,JSON-based Simple API for Python Package Indexes,
690,Lazy Imports,
689,Unstable C API tier,
692,Using TypedDict for more precise **kwargs typing,
687,Isolating modules in the standard library,
688,Making the buffer protocol accessible in Python,
686,Make UTF-8 mode default,
685,Comparison of extra names for optional distribution dependencies,
682,Format Specifier for Signed Zero,
684,A Per-Interpreter GIL,
683,"Immortal Objects, Using a Fixed Refcount",
681,Data Class Transforms,
680,tomllib: Support for Parsing TOML in the Standard Library,
678,Enriching Exceptions with Notes,
679,Allow parentheses in assert statements,
677,Callable Type Syntax,
674,Disallow using macros as l-values,
676,PEP Infrastructure Process,
673,Self Type,
675,Arbitrary Literal String Type,
672,Unicode-related Security Considerations for Python,
671,Syntax for late-bound function argument defaults,
665,A file format to list Python dependencies for reproducibility of an application,
670,Convert macros to functions in the Python C API,
664,Python 3.11 Release Schedule,
669,Low Impact Monitoring for CPython,
668,Marking Python base environments as “externally managed”,
667,Consistent views of namespaces,
666,Reject Foolish Indentation,
663,"Standardizing Enum str(), repr(), and format() behaviors",
662,Editable installs via virtual wheels,
661,Sentinel Values,
660,Editable installs for pyproject.toml based builds (wheel based),
659,Specializing Adaptive Interpreter,
657,Include Fine Grained Error Locations in Tracebacks,
656,Platform Tag for Linux Distributions Using Musl,
658,Serve Distribution Metadata in the Simple Repository API,
653,Precise Semantics for Pattern Matching,
652,Maintaining the Stable ABI,
654,Exception Groups and except*,
655,Marking individual TypedDict items as required or potentially-missing,
651,Robust Stack Overflow Handling,
650,Specifying Installer Requirements for Python Projects,
649,Deferred Evaluation Of Annotations Using Descriptors,
648,Extensible customizations of the interpreter at startup,
647,User-Defined Type Guards,
645,Allow writing optional types as ,
646,Variadic Generics,
644,Require OpenSSL 1.1.1 or newer,
643,Metadata for Package Source Distributions,
642,Explicit Pattern Syntax for Structural Pattern Matching,
641,Using an underscore in the version portion of Python 3.10 compatibility tags,
640,Unused variable syntax,
639,Improving License Clarity with Better Package Metadata,
638,Syntactic Macros,
636,Structural Pattern Matching: Tutorial,
637,Support for indexing with keyword arguments,
635,Structural Pattern Matching: Motivation and Rationale,
633,Dependency specification in pyproject.toml using an exploded TOML table,
632,Deprecate distutils module,
634,Structural Pattern Matching: Specification,
630,Isolating Extension Modules,
628,Add ,
631,Dependency specification in pyproject.toml based on PEP 508,
629,Versioning PyPI’s Simple API,
627,Recording installed projects,
622,Structural Pattern Matching,
626,Precise line numbers for debugging and other tools.,
624,Remove Py_UNICODE encoder APIs,
625,Filename of a Source Distribution,
623,Remove wstr from Unicode,
620,Hide implementation details from the C API,
619,Python 3.10 Release Schedule,
621,Storing project metadata in pyproject.toml,
618,Add Optional Length-Checking To zip,
616,String methods to remove prefixes and suffixes,
617,New PEG parser for CPython,
615,Support for the IANA Time Zone Database in the Standard Library,
614,Relaxing Grammar Restrictions On Decorators,
613,Explicit Type Aliases,
611,The one million limit,
612,Parameter Specification Variables,
604,Allow writing union types as ,
610,Recording the Direct URL Origin of installed distributions,
609,Python Packaging Authority (PyPA) Governance,
608,Coordinated Python release,
606,Python Compatibility Version,
607,Reducing CPython’s Feature Delivery Latency,
605,A rolling feature release stream for CPython,
603,Adding a frozenmap type to collections,
602,Annual Release Cycle for Python,
601,Forbid return/break/continue breaking out of finally,
600,Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions,
599,The manylinux2014 Platform Tag,
597,Add optional EncodingWarning,
598,Introducing incremental feature releases,
596,Python 3.9 Release Schedule,
594,Removing dead batteries from the standard library,
595,Improving bugs.python.org,
592,Adding “Yank” Support to the Simple API,
593,Flexible function and variable annotations,
585,Type Hinting Generics In Standard Collections,
588,GitHub Issues Migration Plan,
589,TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,
591,Adding a final qualifier to typing,
590,Vectorcall: a fast calling protocol for CPython,
586,Literal Types,
587,Python Initialization Configuration,
584,Add Union Operators To dict,
583,A Concurrency Memory Model for Python,
580,The C call protocol,
581,Using GitHub Issues for CPython,
582,Python local packages directory,
579,Refactoring C functions and methods,
578,Python Runtime Audit Hooks,
577,Augmented Assignment Expressions,
576,Rationalize Built-in function classes,
575,Unifying function/method classes,
573,Module State Access from C Extension Methods,
571,The manylinux2010 Platform Tag,
572,Assignment Expressions,
570,Python Positional-Only Parameters,
574,Pickle protocol 5 with out-of-band data,
569,Python 3.8 Release Schedule,
568,Generator-sensitivity for Context Variables,
567,Context Variables,
566,Metadata for Python Software Packages 2.1,
565,Show DeprecationWarning in __main__,
563,Postponed Evaluation of Annotations,
564,Add new time functions with nanosecond resolution,
562,Module __getattr__ and __dir__,
561,Distributing and Packaging Type Information,
559,Built-in noop(),
560,Core support for typing module and generic types,
556,Threaded garbage collection,
557,Data Classes,
555,Context-local variables (contextvars),
553,Built-in breakpoint(),
558,Defined semantics for locals(),
554,Multiple Interpreters in the Stdlib,
551,Security transparency in the Python runtime,
552,Deterministic pycs,
550,Execution Context,
549,Instance Descriptors,
547,Running extension modules using the -m option,
548,More Flexible Loop Control,
545,Python Documentation Translations,
546,Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,
542,Dot Notation Assignment In Function Header,
543,A Unified TLS API for Python,
544,Protocols: Structural subtyping (static duck typing),
541,Package Index Name Retention,
540,Add a new UTF-8 Mode,
539,A New C-API for Thread-Local Storage in CPython,
538,Coercing the legacy C locale to a UTF-8 based locale,
537,Python 3.7 Release Schedule,
536,Final Grammar for Literal String Interpolation,
535,Rich comparison chaining,
533,Deterministic cleanup for iterators,
534,Improved Errors for Missing Standard Library Modules,
532,A circuit breaking protocol and binary operators,
530,Asynchronous Comprehensions,
531,Existence checking operators,
525,Asynchronous Generators,
529,Change Windows filesystem encoding to UTF-8,
527,Removing Un(der)used file types/extensions on PyPI,
528,Change Windows console encoding to UTF-8,
526,Syntax for Variable Annotations,
523,Adding a frame evaluation API to CPython,
524,Make os.urandom() blocking on Linux,
522,Allow BlockingIOError in security sensitive APIs,
520,Preserving Class Attribute Definition Order,
521,Managing global context via ‘with’ blocks in generators and coroutines,
519,Adding a file system path protocol,
518,Specifying Minimum Build System Requirements for Python Projects,
517,A build-system independent format for source trees,
515,Underscores in Numeric Literals,
516,Build system abstraction for pip/conda etc,
514,Python registration in the Windows registry,
513,A Platform Tag for Portable Linux Built Distributions,
512,Migrating from hg.python.org to GitHub,
511,API for code transformers,
510,Specialize functions with guards,
509,Add a private version to dict,
508,Dependency specification for Python Software Packages,
507,Migrate CPython to Git and GitLab,
504,Using the System RNG by default,
506,Adding A Secrets Module To The Standard Library,
505,None-aware operators,
503,Simple Repository API,
502,String Interpolation - Extended Discussion,
501,General purpose string interpolation,
500,A protocol for delegating datetime methods to their tzinfo implementations,
499,,
497,A standard mechanism for backward compatibility,
498,Literal String Interpolation,
496,Environment Markers,
495,Local Time Disambiguation,
494,Python 3.6 Release Schedule,
489,Multi-phase extension module initialization,
491,The Wheel Binary Package Format 1.9,
493,HTTPS verification migration tools for Python 2.7,
492,Coroutines with async and await syntax,
490,Chain exceptions at C level,
488,Elimination of PYO files,
487,Simpler customisation of class creation,
485,A Function for testing approximate equality,
481,"Migrate CPython to Git, Github, and Phabricator",
486,Make the Python Launcher aware of virtual environments,
482,Literature Overview for Type Hints,
484,Type Hints,
483,The Theory of Type Hints,
480,Surviving a Compromise of PyPI: End-to-end signing of packages,
479,Change StopIteration handling inside generators,
476,Enabling certificate verification by default for stdlib http clients,
475,Retry system calls failing with EINTR,
478,Python 3.5 Release Schedule,
477,Backport ensurepip (PEP 453) to Python 2.7,
473,Adding structured data to built-in exceptions,
474,Creating forge.python.org,
472,Support for indexing with keyword arguments,
471,os.scandir() function – a better and faster directory iterator,
470,Removing External Hosting Support on PyPI,
469,Migration of dict iteration code to Python 3,
467,Minor API improvements for binary sequences,
466,Network Security Enhancements for Python 2.7.x,
468,Preserving the order of **kwargs in a function.,
465,A dedicated infix operator for matrix multiplication,
461,Adding % formatting to bytes and bytearray,
463,Exception-catching expressions,
462,Core development workflow automation for CPython,
464,Removal of the PyPI Mirror Authenticity API,
460,Add binary interpolation and formatting,
459,Standard Metadata Extensions for Python Software Packages,
458,Secure PyPI downloads with signed repository metadata,
457,Notation For Positional-Only Parameters,
456,Secure and interchangeable hash algorithm,
455,Adding a key-transforming dictionary to collections,
454,Add a new tracemalloc module to trace Python memory allocations,
452,API for Cryptographic Hash Functions v2.0,
451,A ModuleSpec Type for the Import System,
453,Explicit bootstrapping of pip in Python installations,
450,Adding A Statistics Module To The Standard Library,
449,Removal of the PyPI Mirror Auto Discovery and Naming Scheme,
448,Additional Unpacking Generalizations,
447,Add __getdescriptor__ method to metaclass,
446,Make newly created file descriptors non-inheritable,
444,Python Web3 Interface,
443,Single-dispatch generic functions,
445,Add new APIs to customize Python memory allocators,
441,Improving Python ZIP Application Support,
442,Safe object finalization,
439,Inclusion of implicit pip bootstrap in Python installation,
440,Version Identification and Dependency Specification,
438,Transitioning to release-file hosting on PyPI,
435,Adding an Enum type to the Python standard library,
437,"A DSL for specifying signatures, annotations and argument converters",
436,The Argument Clinic DSL,
434,IDLE Enhancement Exception for All Branches,
433,Easier suppression of file descriptor inheritance,
431,Time zone support improvements,
432,Restructuring the CPython startup sequence,
429,Python 3.4 Release Schedule,
430,Migrating to Python 3 as the default online documentation,
428,The pathlib module – object-oriented filesystem paths,
427,The Wheel Binary Package Format 1.0,
426,Metadata for Python Software Packages 2.0,
425,Compatibility Tags for Built Distributions,
424,A method for exposing a length hint,
423,Naming conventions and recipes related to packaging,
421,Adding sys.implementation,
420,Implicit Namespace Packages,
422,Simpler customisation of class creation,
419,Protecting cleanup statements from interruptions,
418,"Add monotonic time, performance counter, and process time functions",
417,Including mock in the Standard Library,
416,Add a frozendict builtin type,
415,Implement context suppression with exception attributes,
413,Faster evolution of the Python Standard Library,
414,Explicit Unicode Literal for Python 3.3,
412,Key-Sharing Dictionary,
411,Provisional packages in the Python standard library,
410,Use decimal.Decimal type for timestamps,
408,Standard library __preview__ package,
409,Suppressing exception context,
407,New release cycle and introducing long-term support versions,
405,Python Virtual Environments,
406,Improved Encapsulation of Import State,
403,General purpose decorator clause (aka “@in” clause),
404,Python 2.8 Un-release Schedule,
402,Simplified Package Layout and Partitioning,
395,Qualified Names for Modules,
401,BDFL Retirement,
400,Deprecate codecs.StreamReader and codecs.StreamWriter,
398,Python 3.3 Release Schedule,
396,Module Version Numbers,
397,Python launcher for Windows,
399,Pure Python/C Accelerator Module Compatibility Requirements,
394,The “python” Command on Unix-Like Systems,
392,Python 3.2 Release Schedule,
393,Flexible String Representation,
391,Dictionary-Based Configuration For Logging,
387,Backwards Compatibility Policy,
389,argparse - New Command Line Parsing Module,
390,Static metadata for Distutils,
386,Changing the version comparison module in Distutils,
385,Migrating from Subversion to Mercurial,
384,Defining a Stable ABI,
383,Non-decodable Bytes in System Character Interfaces,
382,Namespace Packages,
381,Mirroring infrastructure for PyPI,
379,Adding an Assignment Expression,
380,Syntax for Delegating to a Subgenerator,
378,Format Specifier for Thousands Separator,
377,Allow __enter__() methods to skip the statement body,
376,Database of Installed Python Distributions,
374,Choosing a distributed VCS for the Python project,
375,Python 3.1 Release Schedule,
372,Adding an ordered dictionary to collections,
371,Addition of the multiprocessing package to the standard library,
370,Per user site-packages directory,
373,Python 2.7 Release Schedule,
369,Post import hooks,
367,New Super,
366,Main module explicit relative imports,
368,Standard image protocol and class,
365,Adding the pkg_resources module,
364,Transitioning to the Py3K Standard Library,
363,Syntax For Dynamic Attribute Access,
361,Python 2.6 and 3.0 Release Schedule,
360,Externally Maintained Packages,
362,Function Signature Object,
359,The “make” Statement,
358,The “bytes” Object,
357,Allowing Any Object to be Used for Slicing,
355,Path - Object oriented filesystem paths,
354,Enumerations in Python,
356,Python 2.5 Release Schedule,
353,Using ssize_t as the index type,
352,Required Superclass for Exceptions,
351,The freeze protocol,
350,Codetags,
349,Allow str() to return unicode strings,
347,Migrating the Python CVS to Subversion,
345,Metadata for Python Software Packages 1.2,
348,Exception Reorganization for Python 3.0,
344,Exception Chaining and Embedded Tracebacks,
346,User Defined (”,
343,The “with” Statement,
342,Coroutines via Enhanced Generators,
341,Unifying try-except and try-finally,
340,Anonymous Block Statements,
338,Executing modules as scripts,
339,Design of the CPython Compiler,
337,Logging Usage in the Standard Library,
336,Make None Callable,
335,Overloadable Boolean Operators,
334,Simple Coroutines via SuspendIteration,
333,Python Web Server Gateway Interface v1.0,
331,Locale-Independent Float/String Conversions,
332,Byte vectors and String/Unicode Unification,
330,Python Bytecode Verification,
329,Treating Builtins as Constants in the Standard Library,
328,Imports: Multi-Line and Absolute/Relative,
327,Decimal Data Type,
326,A Case for Top and Bottom Values,
325,Resource-Release Support for Generators,
324,subprocess - New process module,
322,Reverse Iteration,
323,Copyable Iterators,
321,Date/Time Parsing and Formatting,
320,Python 2.4 Release Schedule,
319,Python Synchronize/Asynchronize Block,
318,Decorators for Functions and Methods,
317,Eliminate Implicit Exception Instantiation,
316,Programming by Contract for Python,
315,Enhanced While Loop,
314,Metadata for Python Software Packages 1.1,
313,Adding Roman Numeral Literals to Python,
310,Reliable Acquisition/Release Pairs,
311,Simplified Global Interpreter Lock Acquisition for Extensions,
312,Simple Implicit Lambda,
308,Conditional Expressions,
309,Partial Function Application,
306,How to Change Python’s Grammar,
307,Extensions to the pickle protocol,
305,CSV File API,
304,Controlling Generation of Bytecode Files,
303,Extend divmod() for Multiple Divisors,
302,New Import Hooks,
299,Special __main__() function in modules,
301,Package Index and Metadata for Distutils,Either “success” or “fail”.
297,Support for System Upgrades,
298,The Locked Buffer Interface,
296,Adding a bytes Object Type,
295,Interpretation of multiline string constants,
294,Type Names in the types Module,
293,Codec Error Handling Callbacks,
291,Backward Compatibility for the Python 2 Standard Library,
292,Simpler String Substitutions,
290,Code Migration and Modernization,
289,Generator Expressions,
288,Generators Attributes and Exceptions,
287,reStructuredText Docstring Format,
286,Enhanced Argument Tuples,
285,Adding a bool type,
284,Integer for-loops,
282,A Logging System,
283,Python 2.3 Release Schedule,
281,Loop Counter Iteration with range and xrange,
280,Optimizing access to globals,
279,The enumerate() built-in function,
278,Universal Newline Support,
277,Unicode file name support for Windows NT,
276,Simple Iterator for ints,
274,Dict Comprehensions,
275,Switching on Multiple Values,
273,Import Modules from Zip Archives,
272,API for Block Encryption Algorithms v1.0,
271,Prefixing sys.path by command line option,
268,Extended HTTP functionality and WebDAV,
269,Pgen Module for Python,
270,uniq method for list objects,
267,Optimized Access to Module Namespaces,
266,Optimizing Global Variable/Attribute Access,
265,Sorting Dictionaries by Value,
264,Future statements in simulated shells,
263,Defining Python Source Code Encodings,
262,A Database of Installed Python Packages,
261,Support for “wide” Unicode characters,
260,Simplify xrange(),
259,Omit printing newline after newline,
257,Docstring Conventions,
258,Docutils Design Specification,
256,Docstring Processing System Framework,
255,Simple Generators,
254,Making Classes Look More Like Types,
253,Subtyping Built-in Types,
251,Python 2.2 Release Schedule,
252,Making Types Look More Like Classes,
249,Python Database API Specification v2.0,
250,Using site-packages on Windows,
247,API for Cryptographic Hash Functions,
245,Python Interface Syntax,
244,The ,
246,Object Adaptation,
248,Python Database API Specification v1.0,
237,Unifying Long Integers and Integers,
243,Module Repository Upload Mechanism,
241,Metadata for Python Software Packages,
240,Adding a Rational Literal to Python,
242,Numeric Kinds,
239,Adding a Rational Type to Python,
238,Changing the Division Operator,
236,Back to the __future__,
235,Import on Case-Insensitive Platforms,
233,Python Online Help,
232,Function Attributes,
234,Iterators,
231,__findattr__(),
230,Warning Framework,
229,Using Distutils to Build Python,
228,Reworking Python’s Numeric Model,
212,Loop Counter Iteration,
211,Adding A New Outer Product Operator,
210,Decoupling the Interpreter Loop,
208,Reworking the Coercion Model,
209,Multi-dimensional Arrays,
207,Rich Comparisons,
206,Python Advanced Library,
205,Weak References,
204,Range Literals,
203,Augmented Assignments,
202,List Comprehensions,
201,Lockstep Iteration,
160,Python 1.6 Release Schedule,
200,Python 2.0 Release Schedule,
103,Collecting information about git,
102,Doing Python Micro Releases,
101,Doing Python Releases 101,
100,Python Unicode Integration,
42,Feature Requests,
20,The Zen of Python,
13,Python Language Governance,
10,Voting Guidelines,
11,CPython platform support,
12,Sample reStructuredText PEP Template,
9,Sample Plaintext PEP Template,
8,Style Guide for Python Code,
7,Style Guide for C Code,
6,Bug Fix Releases,
5,Guidelines for Language Evolution,
4,Deprecation of Standard Modules,
3,Guidelines for Handling Bug Reports,
2,Procedure for Adding New Modules,
